Freq.	V(f3)
4.89778819368445e+001	(-1.79404113787299e-001dB,1.05976977040818e+002°)
5.01187233627271e+001	(-2.76849810989201e-001dB,9.97592108400764e+001°)
5.12861383991364e+001	(-4.10529979280263e-001dB,9.33231079543251e+001°)
5.24807460249772e+001	(-5.88900684297751e-001dB,8.66827602268128e+001°)
5.37031796370252e+001	(-8.20484783851029e-001dB,7.98676895558887e+001°)
5.49540873857624e+001	(-1.11306562737113e+000dB,7.29240380891011e+001°)
5.62341325190348e+001	(-1.47276330143566e+000dB,6.59134637554466e+001°)
5.75439937337156e+001	(-1.90317816061538e+000dB,5.89093046373475e+001°)
5.88843655355588e+001	(-2.40481948502947e+000dB,5.19903500592114e+001°)
6.02559586074357e+001	(-2.97498504935513e+000dB,4.52333975379588e+001°)
6.16595001861481e+001	(-3.60812834540188e+000dB,3.87062465558036e+001°)
6.30957344480192e+001	(-4.29660302669479e+000dB,3.24626059858171e+001°)
6.45654229034654e+001	(-5.03158051659464e+000dB,2.65396762824781e+001°)
6.60693448007595e+001	(-5.80393134491076e+000dB,2.09583100847191e+001°)
6.76082975391980e+001	(-6.60492512597708e+000dB,1.57250483462359e+001°)
6.91830970918935e+001	(-7.42669142433453e+000dB,1.08351294104739e+001°)
7.07945784384136e+001	(-8.26245436712473e+000dB,6.27569336666398e+000°)
7.24435960074988e+001	(-9.10659186491355e+000dB,2.02867437651911e+000°)
7.41310241300916e+001	(-9.95457951171859e+000dB,-1.92685888834732e+000°)
7.58577575029182e+001	(-1.08028713496572e+001dB,-5.61296166063085e+000°)
7.76247116628690e+001	(-1.16487554696644e+001dB,-9.05160886545345e+000°)
7.94328234724279e+001	(-1.24902084791732e+001dB,-1.22639230389468e+001°)
8.12830516164097e+001	(-1.33257619837806e+001dB,-1.52697244954167e+001°)
8.31763771102669e+001	(-1.41543868480240e+001dB,-1.80873080483467e+001°)
8.51138038202374e+001	(-1.49753965305128e+001dB,-2.07333708633418e+001°)
8.70963589956078e+001	(-1.57883683861297e+001dB,-2.32230357662368e+001°)
8.91250938133743e+001	(-1.65930807442813e+001dB,-2.55699308457599e+001°)
9.12010839355907e+001	(-1.73894632563944e+001dB,-2.77862988869711e+001°)
9.33254300796988e+001	(-1.81775580948252e+001dB,-2.98831194127931e+001°)
9.54992586021433e+001	(-1.89574898582680e+001dB,-3.18702325769335e+001°)
9.77237220955808e+001	(-1.97294423709975e+001dB,-3.37564585361113e+001°)
1.00000000000000e+002	(-2.04936408903024e+001dB,-3.55497088210792e+001°)
