Circuit: * D:\ECE_Projects\Music_Visualizer\Misc\LM324_With_Voltage_Regulator_Example.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 4.14222e-005 to 4.14232e-005
Heightened Def Con from 4.14232e-005 to 4.14232e-005
Heightened Def Con from 4.14232e-005 to 4.14235e-005
Heightened Def Con from 4.14235e-005 to 4.14235e-005
Heightened Def Con from 4.14235e-005 to 4.14235e-005
Heightened Def Con from 4.14235e-005 to 4.14235e-005
Heightened Def Con from 4.14235e-005 to 4.14238e-005
Heightened Def Con from 4.14238e-005 to 4.14241e-005
Heightened Def Con from 4.14241e-005 to 4.14242e-005
Heightened Def Con from 4.14244e-005 to 4.14246e-005
Heightened Def Con from 4.14246e-005 to 4.14249e-005
Heightened Def Con from 4.14249e-005 to 4.14251e-005
Heightened Def Con from 4.14251e-005 to 4.14251e-005
Heightened Def Con from 4.14251e-005 to 4.14251e-005
Heightened Def Con from 4.14251e-005 to 4.14262e-005
Heightened Def Con from 4.14265e-005 to 4.14266e-005
Heightened Def Con from 4.14266e-005 to 4.14277e-005
Heightened Def Con from 4.14279e-005 to 4.1429e-005
Heightened Def Con from 4.14293e-005 to 4.14304e-005
Heightened Def Con from 4.14343e-005 to 4.14343e-005
Heightened Def Con from 4.14343e-005 to 4.14345e-005
Heightened Def Con from 4.14346e-005 to 4.14348e-005
Heightened Def Con from 4.14348e-005 to 4.14351e-005
Heightened Def Con from 4.1436e-005 to 4.14362e-005
Heightened Def Con from 4.14366e-005 to 4.14367e-005
Heightened Def Con from 4.14367e-005 to 4.14369e-005
Heightened Def Con from 4.14371e-005 to 4.14373e-005
Heightened Def Con from 4.14376e-005 to 4.14379e-005
Heightened Def Con from 4.14379e-005 to 4.14381e-005
Heightened Def Con from 4.14381e-005 to 4.14382e-005
Heightened Def Con from 4.14385e-005 to 4.14387e-005
Heightened Def Con from 4.1439e-005 to 4.14393e-005
Heightened Def Con from 4.14395e-005 to 4.14406e-005
Heightened Def Con from 4.14449e-005 to 4.14452e-005
Heightened Def Con from 4.14452e-005 to 4.14463e-005
Heightened Def Con from 4.14473e-005 to 4.14484e-005
Heightened Def Con from 4.14488e-005 +to 4.14489e-005
Heightened Def Con from 4.14489e-005 +to 4.14509e-005
Heightened Def Con from 4.1454e-005 to 4.14551e-005
Heightened Def Con from 4.14605e-005 to 4.14607e-005
Heightened Def Con from 4.14612e-005 to 4.14612e-005
Heightened Def Con from 4.14612e-005 to 4.14615e-005
Heightened Def Con from 4.14635e-005 to 4.14646e-005
Heightened Def Con from 4.14648e-005 to 4.14651e-005
Heightened Def Con from 4.14654e-005 to 4.14664e-005
Heightened Def Con from 4.14665e-005 to 4.14667e-005
Heightened Def Con from 4.14705e-005 to 4.14707e-005
Heightened Def Con from 4.14713e-005 to 4.14715e-005
Heightened Def Con from 4.14717e-005 to 4.14719e-005
Heightened Def Con from 4.14728e-005 to 4.14728e-005
Heightened Def Con from 4.14728e-005 to 4.1473e-005
Heightened Def Con from 4.14738e-005 to 4.14738e-005
Heightened Def Con from 4.1474e-005 to 4.1474e-005
Heightened Def Con from 4.1474e-005 to 4.14742e-005
Heightened Def Con from 4.14743e-005 to 4.14753e-005
Heightened Def Con from 4.14755e-005 to 4.14755e-005
Heightened Def Con from 4.14755e-005 to 4.14757e-005
Heightened Def Con from 4.14757e-005 to 4.14757e-005
Heightened Def Con from 4.14758e-005 to 4.14758e-005
Heightened Def Con from 4.1476e-005 to 4.14763e-005
Heightened Def Con from 4.14765e-005 to 4.14768e-005
Heightened Def Con from 4.14769e-005 to 4.1477e-005
Heightened Def Con from 4.1477e-005 to 4.14773e-005
Heightened Def Con from 4.1481e-005 to 4.14812e-005
Heightened Def Con from 4.14812e-005 to 4.14815e-005
Heightened Def Con from 4.14817e-005 to 4.14817e-005
Heightened Def Con from 4.14817e-005 to 4.14819e-005
Heightened Def Con from 4.14822e-005 to 4.14842e-005
Heightened Def Con from 4.1495e-005 to 4.14952e-005
Heightened Def Con from 4.14954e-005 to 4.14954e-005
Heightened Def Con from 4.14954e-005 to 4.14954e-005
Heightened Def Con from 4.14954e-005 to 4.14955e-005
Heightened Def Con from 4.14955e-005 to 4.14957e-005
Heightened Def Con from 4.15027e-005 to 4.1503e-005
Heightened Def Con from 4.1503e-005 to 4.1503e-005
Heightened Def Con from 4.1503e-005 to 4.15031e-005
Heightened Def Con from 4.15031e-005 to 4.15032e-005
Heightened Def Con from 4.15032e-005 to 4.15034e-005
Heightened Def Con from 4.1522e-005 to 4.1522e-005
Heightened Def Con from 4.1522e-005 to 4.1524e-005
Heightened Def Con from 4.65802e-005 to 4.65802e-005
Heightened Def Con from 4.65802e-005 to 4.65802e-005
Heightened Def Con from 4.65803e-005 to 4.65803e-005
Heightened Def Con from 4.65803e-005 to 4.65815e-005
Heightened Def Con from 4.65833e-005 to 4.65844e-005
Heightened Def Con from 4.65846e-005 to 4.65847e-005
Heightened Def Con from 4.65847e-005 to 4.65848e-005
Heightened Def Con from 4.65849e-005 to 4.65851e-005
Heightened Def Con from 4.65851e-005 to 4.65851e-005
Heightened Def Con from 4.65851e-005 to 4.65851e-005
Heightened Def Con from 4.65852e-005 to 4.65872e-005
Heightened Def Con from 4.65872e-005 to 4.65872e-005
Heightened Def Con from 4.65872e-005 to 4.65873e-005
Heightened Def Con from 4.65873e-005 to 4.65875e-005
Heightened Def Con from 4.65883e-005 to 4.65884e-005
Heightened Def Con from 4.65884e-005 to 4.65895e-005
Heightened Def Con from 4.65896e-005 to 4.65897e-005
Heightened Def Con from 4.65897e-005 to 4.65897e-005
Heightened Def Con from 4.65897e-005 to 4.65899e-005
Heightened Def Con from 4.659e-005 to 4.65902e-005
Heightened Def Con from 4.65905e-005 to 4.65906e-005
Heightened Def Con from 4.65906e-005 to 4.65909e-005
Heightened Def Con from 4.65909e-005 to 4.65909e-005
Heightened Def Con from 4.65909e-005 to 4.65912e-005
Heightened Def Con from 4.65913e-005 to 4.65915e-005
Heightened Def Con from 4.65915e-005 to 4.65925e-005
Heightened Def Con from 4.65926e-005 to 4.65928e-005
Heightened Def Con from 4.65937e-005 to 4.65947e-005
Heightened Def Con from 4.65947e-005 to 4.65947e-005
Heightened Def Con from 4.65947e-005 to 4.6595e-005
Heightened Def Con from 4.65952e-005 to 4.65954e-005
Heightened Def Con from 4.65954e-005 to 4.65974e-005
Heightened Def Con from 4.65974e-005 to 4.65976e-005
Heightened Def Con from 4.65977e-005 to 4.65977e-005
Heightened Def Con from 4.65977e-005 to 4.65987e-005
Heightened Def Con from 4.65987e-005 to 4.65988e-005
Heightened Def Con from 4.65988e-005 to 4.65989e-005
Heightened Def Con from 4.65989e-005 to 4.66009e-005
Heightened Def Con from 4.66037e-005 to 4.66039e-005
Heightened Def Con from 4.66039e-005 to 4.66042e-005
Heightened Def Con from 4.66139e-005 to 4.66139e-005
Heightened Def Con from 4.6614e-005 to 4.6614e-005
Heightened Def Con from 4.6614e-005 to 4.66142e-005
Heightened Def Con from 4.6615e-005 to 4.66152e-005
Heightened Def Con from 4.66155e-005 to 4.66156e-005
Heightened Def Con from 4.66158e-005 to 4.66158e-005
Heightened Def Con from 4.66158e-005 to 4.66178e-005
Heightened Def Con from 4.66181e-005 to 4.66182e-005
Heightened Def Con from 4.66182e-005 to 4.66182e-005
Heightened Def Con from 4.66182e-005 to 4.66185e-005
Heightened Def Con from 4.66192e-005 to 4.66195e-005
Heightened Def Con from 4.66197e-005 to 4.66217e-005
Heightened Def Con from 4.66237e-005 to 4.6624e-005
Heightened Def Con from 4.66252e-005 to 4.66252e-005
Heightened Def Con from 4.66253e-005 to 4.66255e-005
Heightened Def Con from 4.66256e-005 to 4.66266e-005
Heightened Def Con from 4.66267e-005 to 4.66267e-005
Heightened Def Con from 4.66267e-005 to 4.66269e-005
Heightened Def Con from 4.66277e-005 to 4.66277e-005
Heightened Def Con from 4.66277e-005 to 4.66287e-005
Heightened Def Con from 4.66287e-005 to 4.66297e-005
Heightened Def Con from 4.66297e-005 to 4.66297e-005
Heightened Def Con from 4.66297e-005 to 4.663e-005
Heightened Def Con from 4.66309e-005 to 4.66309e-005
Heightened Def Con from 4.66309e-005 to 4.66319e-005
Heightened Def Con from 4.66319e-005 to 4.66319e-005
Heightened Def Con from 4.66319e-005 to 4.66322e-005
Heightened Def Con from 4.66329e-005 to 4.66329e-005
Heightened Def Con from 4.6633e-005 to 4.66331e-005
Heightened Def Con from 4.66331e-005 to 4.66342e-005
Heightened Def Con from 4.66343e-005 to 4.66344e-005
Heightened Def Con from 4.66344e-005 to 4.66346e-005
Heightened Def Con from 4.66346e-005 to 4.66348e-005
Heightened Def Con from 4.66356e-005 to 4.66357e-005
Heightened Def Con from 4.66357e-005 to 4.66357e-005
Heightened Def Con from 4.66357e-005 to 4.66357e-005
Heightened Def Con from 4.66357e-005 to 4.6636e-005
Heightened Def Con from 4.66361e-005 to 4.66362e-005
Heightened Def Con from 4.66364e-005 to 4.66365e-005
Heightened Def Con from 4.66366e-005 to 4.66367e-005
Heightened Def Con from 4.66367e-005 to 4.66368e-005
Heightened Def Con from 4.66369e-005 to 4.66369e-005
Heightened Def Con from 4.66369e-005 to 4.66372e-005
Heightened Def Con from 4.66383e-005 to 4.66385e-005
Heightened Def Con from 4.66388e-005 to 4.66389e-005
Heightened Def Con from 4.66391e-005 to 4.66393e-005
Heightened Def Con from 4.66393e-005 to 4.66393e-005
Heightened Def Con from 4.66393e-005 to 4.66395e-005
Heightened Def Con from 4.66405e-005 to 4.66408e-005
Heightened Def Con from 4.66428e-005 to 4.6643e-005
Heightened Def Con from 4.6643e-005 to 4.6643e-005
Heightened Def Con from 4.6643e-005 to 4.6643e-005
Heightened Def Con from 4.66431e-005 to 4.66451e-005
Heightened Def Con from 4.66453e-005 to 4.66463e-005
Heightened Def Con from 4.66465e-005 to 4.66485e-005
Heightened Def Con from 4.66496e-005 to 4.66506e-005
Heightened Def Con from 4.66506e-005 to 4.66517e-005
Heightened Def Con from 4.66518e-005 to 4.66519e-005
Heightened Def Con from 4.66519e-005 to 4.6652e-005
Heightened Def Con from 4.6652e-005 to 4.66521e-005
Heightened Def Con from 4.66521e-005 to 4.66522e-005
Heightened Def Con from 4.66522e-005 to 4.66522e-005
Heightened Def Con from 4.66522e-005 to 4.66522e-005
Heightened Def Con from 4.66522e-005 to 4.66525e-005
Heightened Def Con from 4.66525e-005 to 4.66527e-005
Heightened Def Con from 4.66528e-005 to 4.66529e-005
Heightened Def Con from 4.6653e-005 to 4.66531e-005
Heightened Def Con from 4.66531e-005 to 4.66551e-005
Heightened Def Con from 4.66551e-005 to 4.66552e-005
Heightened Def Con from 4.66552e-005 to 4.66555e-005
Heightened Def Con from 4.66566e-005 to 4.66568e-005
Heightened Def Con from 4.66571e-005 to 4.66581e-005
Heightened Def Con from 4.66581e-005 to 4.66582e-005
Heightened Def Con from 4.66583e-005 to 4.66584e-005
Heightened Def Con from 4.66586e-005 to 4.66587e-005
Heightened Def Con from 4.66587e-005 to 4.66588e-005
Heightened Def Con from 4.66588e-005 to 4.66588e-005
Heightened Def Con from 4.66588e-005 to 4.66608e-005
Heightened Def Con from 4.66612e-005 to 4.66632e-005
Heightened Def Con from 4.66632e-005 to 4.66632e-005
Heightened Def Con from 4.66632e-005 to 4.66633e-005
Heightened Def Con from 4.66634e-005 to 4.66645e-005
Heightened Def Con from 4.66649e-005 to 4.6665e-005
Heightened Def Con from 4.66651e-005 to 4.66653e-005
Heightened Def Con from 4.66654e-005 to 4.66654e-005
Heightened Def Con from 4.66655e-005 to 4.66675e-005
Heightened Def Con from 4.66682e-005 to 4.66683e-005
Heightened Def Con from 4.66685e-005 to 4.66685e-005
Heightened Def Con from 4.66685e-005 to 4.66685e-005
Heightened Def Con from 4.66685e-005 to 4.66687e-005
Heightened Def Con from 4.66687e-005 to 4.66689e-005
Heightened Def Con from 4.66689e-005 to 4.66709e-005
Heightened Def Con from 4.66729e-005 to 4.66729e-005
Heightened Def Con from 4.66729e-005 to 4.6673e-005
Heightened Def Con from 4.6673e-005 to 4.66733e-005
Heightened Def Con from 4.66733e-005 to 4.66753e-005
Heightened Def Con from 4.66753e-005 +to 4.66773e-005
Heightened Def Con from 4.66773e-005 to 4.66784e-005
Heightened Def Con from 4.66791e-005 to 4.66792e-005
Heightened Def Con from 4.66792e-005 to 4.66803e-005
Heightened Def Con from 4.66808e-005 to 4.66808e-005
Heightened Def Con from 4.66808e-005 to 4.66808e-005
Heightened Def Con from 4.66809e-005 to 4.66821e-005
Heightened Def Con from 4.66822e-005 to 4.66822e-005
Heightened Def Con from 4.66822e-005 to 4.66823e-005
Heightened Def Con from 4.66823e-005 to 4.66825e-005
Heightened Def Con from 4.66826e-005 to 4.66828e-005
Heightened Def Con from 4.66828e-005 to 4.6683e-005
Heightened Def Con from 4.6683e-005 to 4.6684e-005
Heightened Def Con from 4.6684e-005 to 4.66842e-005
Heightened Def Con from 4.66844e-005 to 4.66846e-005
Heightened Def Con from 4.66846e-005 to 4.66866e-005
Heightened Def Con from 4.66867e-005 to 4.66869e-005
Heightened Def Con from 4.66878e-005 to 4.66879e-005
Heightened Def Con from 4.66879e-005 to 4.6688e-005
Heightened Def Con from 4.66881e-005 to 4.66883e-005
Heightened Def Con from 4.66883e-005 to 4.66886e-005
Heightened Def Con from 4.66888e-005 to 4.66908e-005
Heightened Def Con from 4.66908e-005 to 4.66909e-005
Heightened Def Con from 4.66909e-005 to 4.66911e-005
Heightened Def Con from 4.66911e-005 to 4.66931e-005
Heightened Def Con from 4.66943e-005 to 4.66943e-005
Heightened Def Con from 4.66943e-005 to 4.66963e-005
Heightened Def Con from 4.66964e-005 to 4.66966e-005
Heightened Def Con from 4.66995e-005 to 4.66996e-005
Heightened Def Con from 4.66996e-005 to 4.66998e-005
Heightened Def Con from 4.67001e-005 to 4.67001e-005
Heightened Def Con from 4.67001e-005 to 4.67001e-005
Heightened Def Con from 4.67001e-005 to 4.67001e-005
Heightened Def Con from 4.67001e-005 to 4.67001e-005
Heightened Def Con from 4.67002e-005 to 4.67005e-005
Heightened Def Con from 4.67008e-005 to 4.67018e-005
Heightened Def Con from 4.67018e-005 to 4.6702e-005
Heightened Def Con from 4.6702e-005 to 4.6702e-005
Heightened Def Con from 4.6702e-005 to 4.67023e-005
Heightened Def Con from 4.67025e-005 to 4.67028e-005
Heightened Def Con from 4.67028e-005 to 4.67039e-005
Heightened Def Con from 4.6704e-005 to 4.6704e-005
Heightened Def Con from 4.6704e-005 to 4.67043e-005
Heightened Def Con from 4.67052e-005 to 4.67052e-005
Heightened Def Con from 4.67054e-005 to 4.67064e-005
Heightened Def Con from 4.67064e-005 to 4.67066e-005
Heightened Def Con from 4.67066e-005 to 4.67066e-005
Heightened Def Con from 4.67066e-005 to 4.67086e-005
Heightened Def Con from 4.67093e-005 to 4.67113e-005
Heightened Def Con from 5.69063e-005 to 5.69083e-005
Heightened Def Con from 7.72829e-005 to 7.72849e-005
Heightened Def Con from 8.23169e-005 to 8.23179e-005
Heightened Def Con from 8.23179e-005 to 8.23182e-005
Heightened Def Con from 8.23182e-005 to 8.23192e-005
Heightened Def Con from 8.23192e-005 to 8.23192e-005
Heightened Def Con from 8.23192e-005 to 8.23222e-005
Heightened Def Con from 8.73824e-005 +to 8.73854e-005
Heightened Def Con from 8.73863e-005 to 8.73883e-005
Heightened Def Con from 8.73926e-005 to 8.73946e-005
Heightened Def Con from 0.000107852 to 0.000107854
Heightened Def Con from 0.000112842 to 0.000112844
Heightened Def Con from 0.000117955 to 0.000117956
Heightened Def Con from 0.000117956 to 0.000117959
Heightened Def Con from 0.000118207 to 0.000118209
Heightened Def Con from 0.000128113 to 0.000128116
Heightened Def Con from 0.000133294 to 0.000133297
Heightened Def Con from 0.000148616 to 0.000148619
Heightened Def Con from 0.000148619 to 0.000148622
Heightened Def Con from 0.00016893 to 0.000168933
Heightened Def Con from 0.000179069 to 0.000179071
Heightened Def Con from 0.000179074 to 0.000179076
Heightened Def Con from 0.000199646 to 0.000199648
Heightened Def Con from 0.0002098 to 0.000209803
Heightened Def Con from 0.00020987 to 0.000209872
Heightened Def Con from 0.000209873 to 0.000209876
Heightened Def Con from 0.000255698 to 0.000255701
Heightened Def Con from 0.000260712 to 0.000260715
Heightened Def Con from 0.000260716 to 0.000260718
Heightened Def Con from 0.000260718 to 0.000260719
Heightened Def Con from 0.000260719 to 0.000260722
Heightened Def Con from 0.000260817 to 0.00026082
Heightened Def Con from 0.000270876 to 0.000270878
Heightened Def Con from 0.000276151 to 0.000276154
Heightened Def Con from 0.000281184 to 0.000281187
Heightened Def Con from 0.000281201 to 0.000281204
Heightened Def Con from 0.000296457 to 0.000296459
Heightened Def Con from 0.000296459 to 0.000296459
Heightened Def Con from 0.000296459 to 0.000296462
Heightened Def Con from 0.000301411 to 0.000301414
Heightened Def Con from 0.000311451 to 0.000311454
Heightened Def Con from 0.000321573 to 0.000321576
Heightened Def Con from 0.000326799 to 0.000326802
Heightened Def Con from 0.000336825 to 0.000336826
Heightened Def Con from 0.000336826 to 0.000336828
Heightened Def Con from 0.000342183 to 0.000342185
Heightened Def Con from 0.000357404 to 0.000357404
Heightened Def Con from 0.000357406 to 0.000357409
Heightened Def Con from 0.000362435 to 0.000362438
Heightened Def Con from 0.000372481 to 0.000372483
Heightened Def Con from 0.000372649 to 0.000372651
Heightened Def Con from 0.000372748 to 0.000372749
Heightened Def Con from 0.000382783 to 0.000382786
Heightened Def Con from 0.000383078 to 0.000383079
Heightened Def Con from 0.000387879 to 0.000387881
Heightened Def Con from 0.000403419 to 0.000403422
Heightened Def Con from 0.000408514 to 0.000408517
Heightened Def Con from 0.000418795 to 0.000418798
Heightened Def Con from 0.000423746 to 0.000423749
Heightened Def Con from 0.000428722 to 0.000428723
Heightened Def Con from 0.000428723 to 0.000428725
Heightened Def Con from 0.000434019 to 0.00043402
Heightened Def Con from 0.00043402 to 0.000434023
Heightened Def Con from 0.000439148 to 0.000439149
Heightened Def Con from 0.000449241 to 0.000449244
Heightened Def Con from 0.000449247 to 0.00044925
Heightened Def Con from 0.00044928 to 0.000449282
Heightened Def Con from 0.000449286 to 0.000449288
Heightened Def Con from 0.000454409 to 0.00045441
Heightened Def Con from 0.000454411 to 0.000454414
Heightened Def Con from 0.000459503 to 0.000459506
Heightened Def Con from 0.00045951 to 0.000459512
Heightened Def Con from 0.000464363 to 0.000464364
Heightened Def Con from 0.000464412 to 0.000464415
Heightened Def Con from 0.000464465 to 0.000464466
Heightened Def Con from 0.000474511 to 0.000474513
Heightened Def Con from 0.000479877 to 0.000479878
Heightened Def Con from 0.000479879 to 0.00047988
Heightened Def Con from 0.000490009 to 0.000490012
Heightened Def Con from 0.000490017 to 0.00049002
Heightened Def Con from 0.000495109 to 0.000495111
Heightened Def Con from 0.000500217 to 0.00050022
Heightened Def Con from 0.00050022 to 0.00050022
Heightened Def Con from 0.000500221 to 0.000500222
Heightened Def Con from 0.000500222 to 0.000500225
Heightened Def Con from 0.000505187 to 0.000505188
Heightened Def Con from 0.000505389 to 0.000505391
Heightened Def Con from 0.000510484 to 0.000510485
Heightened Def Con from 0.000510485 to 0.000510487
Heightened Def Con from 0.000515348 to 0.000515349
Heightened Def Con from 0.000520485 to 0.000520488
Heightened Def Con from 0.000520596 to 0.000520599
Heightened Def Con from 0.000525704 to 0.000525707
Heightened Def Con from 0.000541002 to 0.000541005
Heightened Def Con from 0.000545954 to 0.000545957
Heightened Def Con from 0.000551197 to 0.0005512
Heightened Def Con from 0.000561429 to 0.000561432
Heightened Def Con from 0.00057155 to 0.000571552
Heightened Def Con from 0.000571553 to 0.000571556
Heightened Def Con from 0.000581643 to 0.000581645
Heightened Def Con from 0.000581812 +to 0.000581815
Heightened Def Con from 0.000581816 to 0.000581816
Heightened Def Con from 0.000581816 to 0.000581816
Heightened Def Con from 0.000581816 to 0.000581819
Heightened Def Con from 0.000597014 to 0.000597016
Heightened Def Con from 0.000597017 to 0.00059702
Heightened Def Con from 0.000612152 to 0.000612154
Heightened Def Con from 0.000612347 to 0.00061235
Heightened Def Con from 0.000617342 to 0.000617345
Heightened Def Con from 0.000632699 to 0.000632702
Heightened Def Con from 0.000637568 to 0.000637571
Heightened Def Con from 0.000637718 to 0.000637719
Heightened Def Con from 0.000637719 to 0.000637719
Heightened Def Con from 0.000637719 to 0.000637722
Heightened Def Con from 0.000637751 to 0.000637753
Heightened Def Con from 0.000647952 to 0.000647955
Heightened Def Con from 0.00065288 to 0.000652882
Heightened Def Con from 0.000652882 to 0.000652884
Heightened Def Con from 0.000673447 to 0.000673447
Heightened Def Con from 0.000673447 to 0.00067345
Heightened Def Con from 0.000683649 to 0.000683652
Heightened Def Con from 0.000692664 to 0.000692665
Heightened Def Con from 0.000693857 to 0.000693859
Heightened Def Con from 0.000693884 to 0.000693887
Heightened Def Con from 0.00071416 to 0.000714163
Heightened Def Con from 0.000724132 to 0.000724135
Heightened Def Con from 0.000724257 to 0.00072426
Heightened Def Con from 0.000770033 to 0.000770036
Heightened Def Con from 0.000775294 to 0.000775295
Heightened Def Con from 0.000775295 to 0.000775296
Heightened Def Con from 0.00077534 to 0.000775342
Heightened Def Con from 0.000780421 to 0.000780421
Heightened Def Con from 0.000780421 to 0.000780424
Heightened Def Con from 0.000780427 to 0.00078043
Heightened Def Con from 0.000780437 to 0.000780437
Heightened Def Con from 0.000780437 to 0.000780439
Heightened Def Con from 0.000795782 to 0.000795785
Heightened Def Con from 0.00081119 to 0.000811192
Heightened Def Con from 0.000811192 to 0.000811195
Heightened Def Con from 0.000821319 to 0.000821322
Heightened Def Con from 0.000821323 to 0.000821326
Heightened Def Con from 0.000821343 to 0.000821344
Heightened Def Con from 0.000821345 to 0.000821348
Heightened Def Con from 0.000826347 to 0.000826348
Heightened Def Con from 0.000826348 to 0.00082635
Heightened Def Con from 0.00083146 to 0.000831461
Heightened Def Con from 0.000831461 to 0.000831461
Heightened Def Con from 0.000831461 to 0.000831464
Heightened Def Con from 0.00083147 to 0.000831473
Heightened Def Con from 0.0008315 to 0.000831501
Heightened Def Con from 0.000831501 to 0.000831504
Heightened Def Con from 0.00084159 to 0.00084159
Heightened Def Con from 0.000846671 to 0.000846671
Heightened Def Con from 0.000846672 to 0.000846675
Heightened Def Con from 0.000851818 to 0.000851819
Heightened Def Con from 0.000851855 to 0.000851858
Heightened Def Con from 0.000856833 to 0.000856836
Heightened Def Con from 0.000872156 to 0.000872158
Heightened Def Con from 0.000872159 to 0.000872162
Heightened Def Con from 0.000872322 to 0.000872324
Heightened Def Con from 0.000872479 to 0.000872481
Heightened Def Con from 0.00087744 to 0.000877443
Heightened Def Con from 0.000877455 to 0.000877457
Heightened Def Con from 0.00088255 to 0.000882552
Heightened Def Con from 0.000897934 to 0.000897936
Heightened Def Con from 0.000903075 to 0.000903077
Heightened Def Con from 0.000908025 to 0.000908028
Heightened Def Con from 0.00090803 to 0.000908033
Heightened Def Con from 0.000908135 to 0.000908138
Heightened Def Con from 0.000913119 to 0.000913121
Heightened Def Con from 0.000913121 to 0.000913123
Heightened Def Con from 0.000913123 to 0.000913126
Heightened Def Con from 0.000918376 to 0.000918378
Heightened Def Con from 0.000918378 to 0.000918378
Heightened Def Con from 0.000918378 to 0.000918381
Heightened Def Con from 0.000923296 to 0.000923298
Heightened Def Con from 0.000923298 to 0.000923299
Heightened Def Con from 0.000923299 to 0.000923302
Heightened Def Con from 0.000923461 to 0.000923464
Heightened Def Con from 0.000923499 to 0.000923501
Heightened Def Con from 0.000933161 to 0.000933163
Heightened Def Con from 0.000933714 to 0.000933715
Heightened Def Con from 0.000933716 to 0.000933717
Heightened Def Con from 0.000954131 to 0.000954133
Heightened Def Con from 0.000954161 to 0.000954163
Heightened Def Con from 0.000959184 to 0.000959187
Heightened Def Con from 0.000964189 to 0.000964191
Heightened Def Con from 0.000964205 to 0.000964205
Heightened Def Con from 0.000964205 to 0.000964206
Heightened Def Con from 0.000964206 to 0.000964209
Heightened Def Con from 0.000964211 to 0.000964212
Heightened Def Con from 0.000964229 to 0.000964232
Heightened Def Con from 0.000969373 to 0.000969374
Heightened Def Con from 0.000969374 to 0.000969377
Heightened Def Con from 0.000969443 to 0.000969445
Heightened Def Con from 0.00097451 to 0.000974512
Heightened Def Con from 0.000974533 to 0.000974534
Heightened Def Con from 0.000974536 to 0.000974538
Heightened Def Con from 0.00098469 to 0.000984692
Heightened Def Con from 0.000984737 to 0.00098474
Heightened Def Con from 0.000994708 to 0.000994711
Heightened Def Con from 0.000994928 to 0.00099493
Heightened Def Con from 0.00100509 to 0.00100509
Heightened Def Con from 0.00100509 to 0.0010051
Heightened Def Con from 0.0010051 to 0.0010051
Heightened Def Con from 0.00100516 to 0.00100516
Heightened Def Con from 0.00100516 to 0.00100517
Heightened Def Con from 0.00101023 to 0.00101023
Heightened Def Con from 0.00101023 to 0.00101023
