Freq.	V(f3)
5.88843655355588e+001	(-2.54246523049348e+000dB,5.16820038425868e+001°)
6.02559586074357e+001	(-3.11510219502561e+000dB,4.49765617038162e+001°)
6.16595001861481e+001	(-3.74929684791194e+000dB,3.85010240860685e+001°)
6.30957344480192e+001	(-4.43752658042603e+000dB,3.23068966125150e+001°)
6.45654229034654e+001	(-5.17116685882237e+000dB,2.64297187665309e+001°)
6.60693448007595e+001	(-5.94132943555655e+000dB,2.08893007719458e+001°)
6.76082975391980e+001	(-6.73952539163798e+000dB,1.56917104815383e+001°)
6.91830970918935e+001	(-7.55810108601092e+000dB,1.08321615735197e+001°)
7.07945784384136e+001	(-8.39046020613205e+000dB,6.29807666867578e+000°)
7.24435960074988e+001	(-9.23111998857431e+000dB,2.07185198448008e+000°)
7.41310241300916e+001	(-1.00756580614820e+001dB,-1.86690102148852e+000°)
7.58577575029182e+001	(-1.09205990076577e+001dB,-5.53968183746945e+000°)
7.76247116628690e+001	(-1.17632765211465e+001dB,-8.96793808347608e+000°)
7.94328234724279e+001	(-1.26016940077356e+001dB,-1.21723152558476e+001°)
8.12830516164097e+001	(-1.34343962545158e+001dB,-1.51722155806535e+001°)
8.31763771102669e+001	(-1.42603578091722e+001dB,-1.79855753610942e+001°)
8.51138038202374e+001	(-1.50788894429765e+001dB,-2.06287889968104e+001°)
8.70963589956078e+001	(-1.58895617502861e+001dB,-2.31167263531772e+001°)
8.91250938133743e+001	(-1.66921438683594e+001dB,-2.54628057549428e+001°)
9.12010839355907e+001	(-1.74865549690604e+001dB,-2.76790969496508e+001°)
9.33254300796988e+001	(-1.82728262354439e+001dB,-2.97764372275286e+001°)
9.54992586021433e+001	(-1.90510712806229e+001dB,-3.17645501088975e+001°)
9.77237220955808e+001	(-1.98214632734684e+001dB,-3.36521602573439e+001°)
1.00000000000000e+002	(-2.05842173423328e+001dB,-3.54471010963511e+001°)
