Freq.	V(f3)
2.18776162394955e+001	(-1.39574803702912e+000dB,-6.74763892343815e+001°)
2.23872113856834e+001	(-1.05235457483099e+000dB,-7.44739551792348e+001°)
2.29086765276777e+001	(-7.74791664112024e-001dB,-8.13882847501129e+001°)
2.34422881531992e+001	(-5.56443770194218e-001dB,-8.81611913914531e+001°)
2.39883291901949e+001	(-3.89255813928306e-001dB,-9.47505368274918e+001°)
2.45470891568503e+001	(-2.64644092912296e-001dB,-1.01130718661990e+002°)
2.51188643150958e+001	(-1.74256306800470e-001dB,-1.07291043825244e+002°)
2.57039578276886e+001	(-1.10498764725304e-001dB,-1.13232877275825e+002°)
2.63026799189538e+001	(-6.68269573718726e-002dB,-1.18966403893037e+002°)
2.69153480392691e+001	(-3.78430981369356e-002dB,-1.24507593532588e+002°)
2.75422870333816e+001	(-1.92604587671652e-002dB,-1.29875680242678e+002°)
2.81838293126445e+001	(-7.79001282051956e-003dB,-1.35091249962455e+002°)
2.88403150312660e+001	(-9.91651674914348e-004dB,-1.40174900491694e+002°)
2.95120922666638e+001	(2.88211078947797e-003dB,-1.45146378510704e+002°)
3.01995172040201e+001	(5.03376853891643e-003dB,-1.50024085276134e+002°)
3.09029543251359e+001	(6.25180688087319e-003dB,-1.54824852985308e+002°)
3.16227766016838e+001	(7.02211967095558e-003dB,-1.59563912864501e+002°)
3.23593656929628e+001	(7.61970597032343e-003dB,-1.64254995694404e+002°)
3.31131121482591e+001	(8.18176193753661e-003dB,-1.68910522178196e+002°)
3.38844156139202e+001	(8.76367225551568e-003dB,-1.73541853290547e+002°)
3.46736850452531e+001	(9.37932497427378e-003dB,-1.78159579751364e+002°)
3.54813389233575e+001	(1.00268749544834e-002dB,1.77226164276215e+002°)
3.63078054770101e+001	(1.07007003251999e-002dB,1.72605374537524e+002°)
3.71535229097172e+001	(1.13898958001633e-002dB,1.67967846488613e+002°)
3.80189396320561e+001	(1.20632458750649e-002dB,1.63302850478185e+002°)
3.89045144994280e+001	(1.26402208898378e-002dB,1.58598822068133e+002°)
3.98107170553497e+001	(1.29471431181490e-002dB,1.53843079541607e+002°)
4.07380277804112e+001	(1.26573056615023e-002dB,1.49021584804744e+002°)
4.16869383470335e+001	(1.12135706680222e-002dB,1.44118770531570e+002°)
4.26579518801592e+001	(7.73198485761996e-003dB,1.39117466262943e+002°)
4.36515832240165e+001	(8.85514825176242e-004dB,1.33998969865849e+002°)
4.46683592150962e+001	(-1.12314192984135e-002dB,1.28743328310428e+002°)
4.57088189614874e+001	(-3.12536818445131e-002dB,1.23329911654505e+002°)
4.67735141287197e+001	(-6.27017428542124e-002dB,1.17738381969606e+002°)
4.78630092322638e+001	(-1.10124841642982e-001dB,1.11950165141499e+002°)
4.89778819368445e+001	(-1.79199717964360e-001dB,1.05950511339326e+002°)
5.01187233627271e+001	(-2.76739094073891e-001dB,9.97311556627206e+001°)
5.12861383991364e+001	(-4.10552163446204e-001dB,9.32934393083935e+001°)
5.24807460249772e+001	(-5.89098932579751e-001dB,8.66515154400521e+001°)
5.37031796370252e+001	(-8.20903374651030e-001dB,7.98349811937908e+001°)
5.49540873857624e+001	(-1.11374601415859e+000dB,7.28900606564180e+001°)
5.62341325190348e+001	(-1.47373960368990e+000dB,6.58784889978828e+001°)
5.75439937337156e+001	(-1.90447302104225e+000dB,5.88736635761736e+001°)
5.88843655355588e+001	(-2.40644133774047e+000dB,5.19544038372173e+001°)
6.02559586074357e+001	(-2.97692752670485e+000dB,4.51975030489028e+001°)
6.16595001861481e+001	(-3.61037190582347e+000dB,3.86707245937238e+001°)
6.30957344480192e+001	(-4.29911822722791e+000dB,3.24277183333567e+001°)
6.45654229034654e+001	(-5.03433199395694e+000dB,2.65056146576175e+001°)
6.60693448007595e+001	(-5.80688160808574e+000dB,2.09251961409510e+001°)
6.76082975391980e+001	(-6.60803757382120e+000dB,1.56929415452075e+001°)
6.91830970918935e+001	(-7.42993237268772e+000dB,1.08040389716152e+001°)
7.07945784384136e+001	(-8.26579414992277e+000dB,6.24559113855269e+000°)
7.24435960074988e+001	(-9.11000521623751e+000dB,1.99950660402041e+000°)
7.41310241300916e+001	(-9.95804546636002e+000dB,-1.95516186837209e+000°)
7.58577575029182e+001	(-1.08063728673627e+001dB,-5.64047801521294e+000°)
7.76247116628690e+001	(-1.16522789335808e+001dB,-9.07841995322859e+000°)
7.94328234724279e+001	(-1.24937431660265e+001dB,-1.22901098140880e+001°)
8.12830516164097e+001	(-1.33292995617569e+001dB,-1.52953652236849e+001°)
8.31763771102669e+001	(-1.41579209296529e+001dB,-1.81124769751315e+001°)
8.51138038202374e+001	(-1.49789222899545e+001dB,-2.07581375431563e+001°)
8.70963589956078e+001	(-1.57918822401354e+001dB,-2.32474648335617e+001°)
8.91250938133743e+001	(-1.65965800910304e+001dB,-2.55940820677294e+001°)
9.12010839355907e+001	(-1.73929462644193e+001dB,-2.78102273862195e+001°)
9.33254300796988e+001	(-1.81810235339485e+001dB,-2.99068759845465e+001°)
9.54992586021433e+001	(-1.89609369650544e+001dB,-3.18938640502035e+001°)
9.77237220955808e+001	(-1.97328707421646e+001dB,-3.37800081469048e+001°)
1.00000000000000e+002	(-2.04970503985610e+001dB,-3.55732165779111e+001°)
